Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR8146935_1 - illumina_universal_adapter	(1, 3.494869269796743e-05)	(2, 5.242303904695115e-05)	(3, 8.237906135949467e-05)	(4, 9.236440213034249e-05)	(5, 0.000122320424442886)	(6, 0.0001422911059845817)	(7, 0.0001722471282971252)	(8, 0.0001897214746461089)	(9, 0.0014803267692781918)	(10, 0.0018135875175052385)	(12, 0.002230475494688136)	(14, 0.0026898011701471363)	(16, 0.0043186598833916895)	(18, 0.006532909199327198)	(20, 0.0076712380472038506)	(22, 0.008064410840055984)	(24, 0.008428875778191932)	(26, 0.0088295375766222)	(28, 0.00921147686110713)	(30, 0.009679539709740621)	(32, 0.010233726122522678)	(34, 0.010933948144078382)	(36, 0.011767724098444177)	(38, 0.01269511262253667)	(40, 0.013739828900686625)	(42, 0.014925588117224806)	(44, 0.016284842629656467)	(46, 0.017757680393356526)	(48, 0.01941275062612455)	(50, 0.021289994691043944)	(52, 0.023238384308955633)	(54, 0.025330313200448252)	(56, 0.027559540527540033)	(58, 0.029969752156103428)	(60, 0.03237996378466683)	(62, 0.03501734191576701)	(64, 0.038124031063097044)	(66, 0.04159643331615938)	(68, 0.04527852772540952)	(70, 0.049403721631366034)	(72, 0.05380600874371357)	(74, 0.05858898697294969)	(76, 0.06397483015122574)	(78, 0.06983123251332798)	(80, 0.07624931029379045)	(82, 0.08328398286685273)	(84, 0.0906968502216109)	(86, 0.09880869143032842)	(88, 0.10727376406881467)	(90, 0.1163379571535518)	(92, 0.12624591153342557)	(94, 0.1373146617779104)	(96, 0.1492009617980084)	(98, 0.16206083254326403)	(100, 0.1765196059794517)	(102, 0.1919507019732007)	(104, 0.20875852682573032)	(106, 0.22740115804490324)	(108, 0.24707103119587712)	(110, 0.2686793086239918)	(112, 0.2918802479050568)	(114, 0.31725050246858844)	(116, 0.34459286183436255)	(118, 0.3735877950977119)	(120, 0.4050203996767445)	(122, 0.4384725394266812)	(124, 0.47567417463607115)	(126, 0.5154645094403034)	(128, 0.55794214907949)	(130, 0.6045736904793495)	(132, 0.6535442979547801)	(134, 0.706324312934289)	(136, 0.7632931783671686)	(138, 0.8233025800647714)
SRR8146935_2 - illumina_universal_adapter	(1, 3.2452357505255475e-05)	(2, 4.992670385423919e-05)	(3, 7.489005578135878e-05)	(4, 9.486073732305446e-05)	(5, 0.00011982408925017405)	(6, 0.0001348021004064458)	(7, 0.00015726911714085344)	(8, 0.00017973613387526108)	(9, 0.0014828231044709038)	(10, 0.0018210765230833744)	(12, 0.0022604315170006795)	(14, 0.002747216879579511)	(16, 0.004473432665339831)	(18, 0.006787535388983817)	(20, 0.008031958482550729)	(22, 0.008583648560140072)	(24, 0.009097893609838736)	(26, 0.00970824756445681)	(28, 0.01027366748560607)	(30, 0.010987619350721688)	(32, 0.011811409964316635)	(34, 0.012798710533034215)	(36, 0.013927054040140021)	(38, 0.015160243625339728)	(40, 0.016536972484120373)	(42, 0.01810591915273984)	(44, 0.01983213493850016)	(46, 0.02171437167380498)	(48, 0.023790074386544974)	(50, 0.026089199099032685)	(52, 0.028429513342200147)	(54, 0.030952060054435585)	(56, 0.03361190520227018)	(58, 0.03646896083032901)	(60, 0.039306045776846155)	(62, 0.042407742253790764)	(64, 0.04602618011562675)	(66, 0.050031549932333094)	(68, 0.054171721849445874)	(70, 0.05876872310682495)	(72, 0.06366902909011853)	(74, 0.06902741258127473)	(76, 0.0749998945298381)	(78, 0.0813231115729775)	(80, 0.08825668257073496)	(82, 0.09579686302032145)	(84, 0.10374769060910904)	(86, 0.1123538061859835)	(88, 0.12138929141600445)	(90, 0.13099518923756007)	(92, 0.141555935270328)	(94, 0.15321382062029287)	(96, 0.16569549658385266)	(98, 0.1791569841105519)	(100, 0.1942498266856884)	(102, 0.2102962693044409)	(104, 0.2276345653854218)	(106, 0.24683138301737678)	(108, 0.2670317273968019)	(110, 0.2892366289359748)	(112, 0.3132251619703404)	(114, 0.33928690138225326)	(116, 0.36742559167450245)	(118, 0.3973092202664573)	(120, 0.4296717097047752)	(122, 0.46393391022474684)	(124, 0.5020229925951458)	(126, 0.5425160457561266)	(128, 0.5856864184112909)	(130, 0.632909591251823)	(132, 0.6824481149835955)	(134, 0.7358047833926209)	(136, 0.793466381841478)	(138, 0.8540848893261026)
SRR8146936_1 - illumina_universal_adapter	(1, 7.014207485089418e-05)	(2, 8.053349334732295e-05)	(3, 0.00011950131270893083)	(4, 0.00014547985895000277)	(5, 0.00017405625981518186)	(6, 0.00018444767831161065)	(7, 0.00020782836992857536)	(8, 0.0002364047707937545)	(9, 0.0029823371084750565)	(10, 0.003721426749033553)	(12, 0.004587811266173301)	(14, 0.005254160977256795)	(16, 0.00771562823359836)	(18, 0.010866825892640385)	(20, 0.0122995427178355)	(22, 0.012828206133841315)	(24, 0.013381549168776145)	(26, 0.013921902930590441)	(28, 0.014483039529397595)	(30, 0.01514938924048109)	(32, 0.0158936745902878)	(34, 0.01683539689152666)	(36, 0.01795637116182891)	(38, 0.019351419094974474)	(40, 0.020925718997183432)	(42, 0.022700053705448645)	(44, 0.024626362909224125)	(46, 0.026854023249396043)	(48, 0.02925833770400725)	(50, 0.032018558242121145)	(52, 0.034824241236156905)	(54, 0.03788841076529134)	(56, 0.041253931430822205)	(58, 0.04497925496179192)	(60, 0.04906697921282459)	(62, 0.05348203314649476)	(64, 0.058182851088816726)	(66, 0.06343701206607352)	(68, 0.069167879366854)	(70, 0.0756196513258242)	(72, 0.08246499826034664)	(74, 0.09005982625392403)	(76, 0.09830022112159204)	(78, 0.10702901265859222)	(80, 0.1167566792985616)	(82, 0.12755076526172698)	(84, 0.13971521953910887)	(86, 0.1521628399705185)	(88, 0.16524303800289822)	(90, 0.17967282151250163)	(92, 0.19569768776130683)	(94, 0.21281625080686117)	(96, 0.23144546631633384)	(98, 0.25145284370389537)	(100, 0.2737554256518556)	(102, 0.29813239451716544)	(104, 0.3248617207446044)	(106, 0.3530653294712241)	(108, 0.38408111582843985)	(110, 0.41790258517969137)	(112, 0.45446349223206395)	(114, 0.4944626598794424)	(116, 0.5371337210077151)	(118, 0.5834378818278017)	(120, 0.6335985578373753)	(122, 0.6875118348514719)	(124, 0.7464662487636485)	(126, 0.809442141633943)	(128, 0.8768447787837161)	(130, 0.9494613101640724)	(132, 1.0280542061071873)	(134, 1.1115778301268577)	(136, 1.201911730043625)	(138, 1.296915273647225)
SRR8146936_2 - illumina_universal_adapter	(1, 4.156567398571507e-05)	(2, 6.234851097857261e-05)	(3, 9.092491184375172e-05)	(4, 0.00011170774883660926)	(5, 0.00013768629507768118)	(6, 0.00015067556819821714)	(7, 0.00018184982368750344)	(8, 0.0001974369514321466)	(9, 0.0029563585622339847)	(10, 0.0037084374759130167)	(12, 0.004593006975421515)	(14, 0.005280139523497868)	(16, 0.007739008925215325)	(18, 0.010916185130498421)	(20, 0.012381375138494879)	(22, 0.012964593501606942)	(24, 0.013612758230321686)	(26, 0.01427131437753286)	(28, 0.014938963015928407)	(30, 0.015742999022089584)	(32, 0.01663795994009451)	(34, 0.017714770681786944)	(36, 0.019035779758145452)	(38, 0.020612677514978514)	(40, 0.022414289696796853)	(42, 0.024388659211118317)	(44, 0.026534487130630863)	(46, 0.029021932933213496)	(48, 0.0317509792158381)	(50, 0.034833333727341285)	(52, 0.037976737822510986)	(54, 0.04140200914439632)	(56, 0.04507667451019594)	(58, 0.049130626651115214)	(60, 0.053662584042870214)	(62, 0.05849329471639754)	(64, 0.06354871981491013)	(66, 0.0692263310958964)	(68, 0.07535986586341348)	(70, 0.08228964307321941)	(72, 0.08952466820135795)	(74, 0.09756113148103354)	(76, 0.10627303696297702)	(78, 0.11542268094908255)	(80, 0.1256296517671997)	(82, 0.13694850436443473)	(84, 0.1496182413662055)	(86, 0.16256205203081958)	(88, 0.17617610918845333)	(90, 0.19113715396868663)	(92, 0.20778940210921376)	(94, 0.22548728673594398)	(96, 0.24481662406661356)	(98, 0.2655604932401095)	(100, 0.28853332168108936)	(102, 0.31362599949534076)	(104, 0.34110220892721044)	(106, 0.3701812946621543)	(108, 0.4018686264397018)	(110, 0.43643178328613597)	(112, 0.473973380459109)	(114, 0.5149883092645133)	(116, 0.5589764826872083)	(118, 0.6065003362533132)	(120, 0.657944352447196)	(122, 0.7130292618967649)	(124, 0.7729435830925491)	(126, 0.8367274087509409)	(128, 0.9049314840522511)	(130, 0.9784143999497471)	(132, 1.0577463855334206)	(134, 1.1418480322069546)	(136, 1.2327326773040328)	(138, 1.328738992792538)
SRR8146938_1 - illumina_universal_adapter	(1, 1.968242236558267e-05)	(2, 3.061710145757304e-05)	(3, 5.029952382315571e-05)	(4, 5.9047267096748004e-05)	(5, 8.310356109912683e-05)	(6, 9.40382401911172e-05)	(7, 0.00010934679091990371)	(8, 0.00012246840583029215)	(9, 0.00016402018637985558)	(10, 0.00021103930647541416)	(12, 0.0002504041512065795)	(14, 0.0003061710145757304)	(16, 0.00044941531068080426)	(18, 0.0006123420291514609)	(20, 0.0007282496275265588)	(22, 0.0008430637579924577)	(24, 0.001001616604826318)	(26, 0.001208282039664936)	(28, 0.0014466580438703262)	(30, 0.001740800911444867)	(32, 0.0021563187169405013)	(34, 0.0026265099178960872)	(36, 0.0031502810464024257)	(38, 0.0037188843591859254)	(40, 0.004460255601622873)	(42, 0.005273795726066956)	(44, 0.006182467558611356)	(46, 0.0072835897431747865)	(48, 0.008534517031298485)	(50, 0.009744986006781819)	(52, 0.011065895241094257)	(54, 0.01253770304687616)	(56, 0.014183372250220712)	(58, 0.01597884655712553)	(60, 0.01797551895932297)	(62, 0.02020291309036141)	(64, 0.02245108311167463)	(66, 0.02499776987219919)	(68, 0.027964348309856175)	(70, 0.031090573062256224)	(72, 0.03459732464705753)	(74, 0.03842664926507256)	(76, 0.04267805249603842)	(78, 0.0473548147436827)	(80, 0.052436160117730626)	(82, 0.05792427555400059)	(84, 0.06400833100078404)	(86, 0.07054726909779427)	(88, 0.07774994221568834)	(90, 0.08553762066500388)	(92, 0.09395623009792728)	(94, 0.10339176468640576)	(96, 0.11372066255669987)	(98, 0.12468267834642022)	(100, 0.13714821251128922)	(102, 0.1509280951030155)	(104, 0.16571615510702328)	(106, 0.1819136952459886)	(108, 0.19950650043709195)	(110, 0.21901506140511195)	(112, 0.24018241319138692)	(114, 0.263438288684232)	(116, 0.2888067441776497)	(118, 0.31626591031345597)	(120, 0.3460027701041237)	(122, 0.3788417983531892)	(124, 0.4145325909094458)	(126, 0.4530106331662507)	(128, 0.49464879768064085)	(130, 0.5402529703016958)	(132, 0.5892392391659036)	(134, 0.6419706356191179)	(136, 0.6992191480052334)	(138, 0.7605277067382051)
SRR8146938_2 - illumina_universal_adapter	(1, 2.6243229820776893e-05)	(2, 3.2804037275971114e-05)	(3, 4.811258800475763e-05)	(4, 5.248645964155379e-05)	(5, 6.998194618873838e-05)	(6, 8.52904969175249e-05)	(7, 0.00010059904764631142)	(8, 0.00011153372673830178)	(9, 0.00016620712219825366)	(10, 0.00021541317811221033)	(12, 0.0002722735093905603)	(14, 0.00037833989658286687)	(16, 0.0005882857351490819)	(18, 0.0008157270602624817)	(20, 0.000992868861552726)	(22, 0.0012224971224845235)	(24, 0.0015177334579682636)	(26, 0.0019048210978247228)	(28, 0.0023454886652319344)	(30, 0.0028342688206439044)	(32, 0.0034870691624357296)	(34, 0.004230627340691075)	(36, 0.005022298106951178)	(38, 0.005891605094764413)	(40, 0.006922745333139104)	(42, 0.00802933485724853)	(44, 0.009260579723006646)	(46, 0.010721452849696559)	(48, 0.012299327042670768)	(50, 0.013869546960280588)	(52, 0.015506468420351544)	(54, 0.017261484414616002)	(56, 0.019243941733993856)	(58, 0.021402447386752753)	(60, 0.023756683795258283)	(62, 0.02639631532806476)	(64, 0.029068750898147207)	(66, 0.03201674038134781)	(68, 0.035417425578956815)	(70, 0.038960261604761695)	(72, 0.04288034405924024)	(74, 0.04706832615147255)	(76, 0.05168604113202009)	(78, 0.05668537641287809)	(80, 0.0621220988574157)	(82, 0.06797433910744895)	(84, 0.07447172542390962)	(86, 0.08138462954586594)	(88, 0.08900828780880163)	(90, 0.09722788608225078)	(92, 0.10612652792731256)	(94, 0.11597867378919588)	(96, 0.1267351176119868)	(98, 0.138119212014658)	(100, 0.15099479664547663)	(102, 0.16518691663897095)	(104, 0.18043204622902392)	(106, 0.19698933731011575)	(108, 0.21495501505825593)	(110, 0.2348353551154036)	(112, 0.2565450669846413)	(114, 0.2802962834403536)	(116, 0.30633503476211027)	(118, 0.33446559019416466)	(120, 0.36495147550263385)	(122, 0.39832739649511606)	(124, 0.43453977324406057)	(126, 0.4734475483891807)	(128, 0.5154071924688753)	(130, 0.5613875180506949)	(132, 0.6107324443891198)	(134, 0.6638170309770055)	(136, 0.7213378168725116)	(138, 0.7831384361646228)
SRR8146944_1 - illumina_universal_adapter	(1, 2.5205433283198525e-05)	(2, 2.5205433283198525e-05)	(3, 4.681009038308298e-05)	(4, 5.76124189330252e-05)	(5, 8.281785221622373e-05)	(6, 0.0001008217331327941)	(7, 0.00012242639023267855)	(8, 0.00014763182351587708)	(9, 0.0015735391921082508)	(10, 0.0018562001224984056)	(12, 0.0021910723075466145)	(14, 0.0026375685542775603)	(16, 0.004259718224860551)	(18, 0.006411181994390711)	(20, 0.007460808251826764)	(22, 0.007822686258249828)	(24, 0.008215170862231062)	(26, 0.00863646167567881)	(28, 0.009055952101034898)	(30, 0.009518651840590758)	(32, 0.010060568656179526)	(34, 0.010645694785968064)	(36, 0.011328041872706082)	(38, 0.012129214573493462)	(40, 0.013002402797947125)	(42, 0.013852185977209247)	(44, 0.014923416891745185)	(46, 0.016100870703688888)	(48, 0.01746736526525658)	(50, 0.018869867588657413)	(52, 0.02026696874778327)	(54, 0.021856711432716436)	(56, 0.02357968283643222)	(58, 0.02543408257083897)	(60, 0.027522532757161135)	(62, 0.02967579691478295)	(64, 0.03203790609103698)	(66, 0.03468807736195614)	(68, 0.03782615380571436)	(70, 0.04090301705435624)	(72, 0.04446058392347055)	(74, 0.04831161405152495)	(76, 0.05231027600309523)	(78, 0.056742831484754855)	(80, 0.061587675839403944)	(82, 0.06681240208139266)	(84, 0.07257544436278685)	(86, 0.0785779382603714)	(88, 0.08515655634728622)	(90, 0.0923779129829226)	(92, 0.1001303841055978)	(94, 0.10839956661057858)	(96, 0.11720526476687315)	(98, 0.12710379849480355)	(100, 0.13769008047374692)	(102, 0.14945201587654233)	(104, 0.1616946548998102)	(106, 0.1750121256137973)	(108, 0.18944403655652012)	(110, 0.20466631787148037)	(112, 0.2211848786124337)	(114, 0.23905913158640477)	(116, 0.25791099529414563)	(118, 0.27816536132528724)	(120, 0.3002561232099191)	(122, 0.3237547885822268)	(124, 0.3489530203130587)	(126, 0.376007452166389)	(128, 0.4045562061357947)	(130, 0.4347451136566999)	(132, 0.467690415345932)	(134, 0.5025441284123205)	(136, 0.5393404602296071)	(138, 0.5780416026478667)
SRR8146944_2 - illumina_universal_adapter	(1, 3.9608538016454824e-05)	(2, 3.9608538016454824e-05)	(3, 5.401164274971113e-05)	(4, 7.921707603290965e-05)	(5, 9.722095694948003e-05)	(6, 0.00011162406168273633)	(7, 0.0001332287187826208)	(8, 0.0001584341520658193)	(9, 0.0016059461777580776)	(10, 0.0018886071081482326)	(12, 0.0022180781289214704)	(14, 0.002671775928019044)	(16, 0.004342536077076775)	(18, 0.006578618086914815)	(20, 0.007685856763283894)	(22, 0.008135953786198153)	(24, 0.00864186283995378)	(26, 0.009190981207909177)	(28, 0.009738299187772916)	(30, 0.010363033855577908)	(32, 0.01106698559941581)	(34, 0.011815947045545137)	(36, 0.012683734105723831)	(38, 0.013639740182393717)	(40, 0.014732575754029538)	(42, 0.01581280860902376)	(44, 0.017114489199291802)	(46, 0.018576404329717314)	(48, 0.020180550119383734)	(50, 0.02185491104462478)	(52, 0.023550876626965707)	(54, 0.025443084511297256)	(56, 0.027511730428611193)	(58, 0.029641589541041468)	(60, 0.032099119286153326)	(62, 0.03457465291218175)	(64, 0.037305841647225474)	(66, 0.04028368355082622)	(68, 0.04381064382238235)	(70, 0.04727819128691381)	(72, 0.05123184353619266)	(74, 0.055459154775403384)	(76, 0.059754880762097076)	(78, 0.06457992084773795)	(80, 0.06979564514926838)	(82, 0.07542725909997158)	(84, 0.08170341198748803)	(86, 0.08814880135562023)	(88, 0.09517211530117431)	(90, 0.10283456701926667)	(92, 0.11111275146470573)	(94, 0.11986083720206728)	(96, 0.12906262073852642)	(98, 0.1394382573107459)	(100, 0.15056285532909475)	(102, 0.16276588581434615)	(104, 0.17548742806999476)	(106, 0.18942963345178687)	(108, 0.2044394689719316)	(110, 0.22035670009027147)	(112, 0.2375125982156714)	(114, 0.2561232099191302)	(116, 0.2757510408943752)	(118, 0.2969254052403536)	(120, 0.3200603922181465)	(122, 0.34455107142895725)	(124, 0.37072871428165055)	(126, 0.39883997394478354)	(128, 0.4285571797856746)	(130, 0.4601611923466222)	(132, 0.4945378025687217)	(134, 0.5307310043753031)	(136, 0.5687191931092667)	(138, 0.6088984541507767)
SRR8146963_1 - illumina_universal_adapter	(1, 0.00019161941265874842)	(2, 0.0002609988551731229)	(3, 0.00040306152317874666)	(4, 0.0005120863614156208)	(5, 0.0006475414634674947)	(6, 0.000852376008033743)	(7, 0.0009911348930624919)	(8, 0.0011431089099987405)	(9, 0.0017543087607206106)	(10, 0.0020632124690584206)	(12, 0.0025092231709365415)	(14, 0.003006442508956225)	(16, 0.0042024119465849654)	(18, 0.005915423420094639)	(20, 0.007124607989630879)	(22, 0.008026540742317746)	(24, 0.009239029094830861)	(26, 0.0107785919620546)	(28, 0.012803810926878958)	(30, 0.015400584346702686)	(32, 0.018753924068230784)	(34, 0.02321072730403512)	(36, 0.02848191304363914)	(38, 0.034745885567794094)	(40, 0.04183745572765622)	(42, 0.0495963900488471)	(44, 0.058366281960961705)	(46, 0.06783162018970851)	(48, 0.07781400045433623)	(50, 0.08811519577623239)	(52, 0.0988541423425645)	(54, 0.11031331359785534)	(56, 0.12214416043804462)	(58, 0.13484059841817514)	(60, 0.14809537572139753)	(62, 0.16195804909236494)	(64, 0.1766004152458748)	(66, 0.19188536718838684)	(68, 0.2080507772942361)	(70, 0.2250470888187694)	(72, 0.24297011146831612)	(74, 0.26239635537234096)	(76, 0.2827955633630555)	(78, 0.3035994847684372)	(80, 0.3260090447005801)	(82, 0.3499069588638053)	(84, 0.3747481030669282)	(86, 0.40068114754390827)	(88, 0.4277589528223755)	(90, 0.4564407447361156)	(92, 0.4868586746042035)	(94, 0.5195116136561473)	(96, 0.5538114885220633)	(98, 0.5905693779227742)	(100, 0.6287528496780067)	(102, 0.669718106699768)	(104, 0.7125648681268595)	(106, 0.7576466387378069)	(108, 0.805845528587436)	(110, 0.8564809583825101)	(112, 0.9100567550270031)	(114, 0.9664225963954671)	(116, 1.026349915813002)	(118, 1.0893960063607073)	(120, 1.1562893521849833)	(122, 1.2273223380792837)	(124, 1.3029442785284635)	(126, 1.3832361162154558)	(128, 1.467880687974481)	(130, 1.556843304084282)	(132, 1.6495804922451625)	(134, 1.7482099773452995)	(136, 1.8521816795190431)	(138, 1.9610644550879117)
SRR8146963_2 - illumina_universal_adapter	(1, 0.00012884753609812395)	(2, 0.00018501184670499847)	(3, 0.0003039480338724975)	(4, 0.0003733274763868719)	(5, 0.0004922636635543709)	(6, 0.0006739717272824944)	(7, 0.0007896041314731185)	(8, 0.0009118441016174925)	(9, 0.0014999174715012377)	(10, 0.0017856946990009227)	(12, 0.002187104330691232)	(14, 0.002649633947453728)	(16, 0.0038373439276402806)	(18, 0.005552007292638392)	(20, 0.00680909671533932)	(22, 0.007856395919008686)	(24, 0.009224162071434925)	(26, 0.011059413515088972)	(28, 0.013522383724349264)	(30, 0.016627939722611736)	(32, 0.020698200350121706)	(34, 0.02602224661735572)	(36, 0.032236662396857546)	(38, 0.039615661675707806)	(40, 0.048003966653993355)	(42, 0.05719839467863641)	(44, 0.06761852618770006)	(46, 0.07888607803033217)	(48, 0.09083255727471207)	(50, 0.10340014771874446)	(52, 0.11634767320511748)	(54, 0.1302037390101311)	(56, 0.14454215712976848)	(58, 0.1600187284849393)	(60, 0.17599747485259512)	(62, 0.19267497131985997)	(64, 0.20992071845914734)	(66, 0.22801553782349157)	(68, 0.24713948558513235)	(70, 0.267176929339879)	(72, 0.2882236787940611)	(74, 0.3105572517177359)	(76, 0.3338125800919588)	(78, 0.3577187537126261)	(80, 0.383167793983494)	(82, 0.41027863709173007)	(84, 0.43842191238023953)	(86, 0.4676504803766524)	(88, 0.4982104729127459)	(90, 0.5302984650756442)	(92, 0.5640565195333526)	(94, 0.6003683982321854)	(96, 0.6385948191661173)	(98, 0.6790843314392084)	(100, 0.721376057326185)	(102, 0.7661307534224218)	(104, 0.8126397582793792)	(106, 0.8615671322754092)	(108, 0.9135703282229096)	(110, 0.9683751321348002)	(112, 1.0263069666343028)	(114, 1.0873080155193224)	(116, 1.1522603888446843)	(118, 1.2206569559234384)	(120, 1.2931898592892401)	(122, 1.3697930232825515)	(124, 1.451247792577404)	(126, 1.5370965932315002)	(128, 1.6276929300233656)	(130, 1.7224933306533046)	(132, 1.8214911875553632)	(134, 1.9262574495350453)	(136, 2.0360173794842744)	(138, 2.1510022422114305)
