Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR8146935_1	17.08472695553337	53.0	149.99999685461765	150	0.0	40.058723
SRR8146935_2	12.375374162415767	53.0	149.99999732892135	150	0.0	40.058723
SRR8146936_1	36.81536437281684	48.0	150.0	150	0.0	38.493300999999995
SRR8146936_2	26.7172587150378	48.0	150.0	150	0.0	38.493300999999995
SRR8146938_1	11.19510414042621	51.0	149.9999966977269	150	0.0	45.726079
SRR8146938_2	7.972718754331424	51.0	149.99999765997867	150	0.0	45.726079
SRR8146944_1	31.889172267479708	48.0	149.9999924743778	150	0.0	27.77179
SRR8146944_2	21.283205580178375	48.0	150.0	150	0.0	27.77179
SRR8146963_1	17.521856815928118	50.0	149.99999183965605	150	0.0	30.268331999999997
SRR8146963_2	11.971616740713529	50.0	150.0	150	0.0	30.268331999999997
SRR8146968_1	29.790045221068127	51.0	149.99999224442848	150	0.0	42.163236999999995
SRR8146968_2	18.251249222021343	51.0	150.0	150	0.0	42.163236999999995
